obs_id,true_value,meas_value,corr_value,diff(%)
0,-13.9374 -3.50188 0.316214 0.315911,-13.7218 -3.33131 0.346401 0.293601,-13.2483  -3.2161  0.34501 0.293055,-4.94401 -8.16067  9.10638 -7.23502
0,-13.9268 -3.49135 0.316214 0.315911,-13.7227 -3.93197 0.201432 0.377273,-13.5756 -3.71188 0.221898 0.365168,-2.52188  6.31659 -29.8267  15.5921
0,-13.9163 -3.48082 0.316214 0.315911, -14.102 -3.59704 0.441565 0.341826,-13.9255 -3.63095 0.409478  0.34524,0.0662474    4.3133   29.4939   9.28411
0,-13.9057 -3.47029 0.316214 0.315911,-13.9903 -3.35151 0.275975 0.289674,-13.9644  -3.4408 0.295445 0.297807, 0.421727 -0.849676  -6.56807  -5.73059
0,-13.8952 -3.45975 0.316214 0.315911,-13.6914  -3.5037 0.347538 0.210039,-13.7791 -3.47956 0.339963 0.222837,-0.835865  0.572397   7.51025   -29.462
0,-13.8847 -3.44922 0.316214 0.315911,-13.9945 -3.56443 0.305949 0.243235, -13.919 -3.53364 0.310889  0.24025,0.247233  2.44728 -1.68401   -23.95
0,-13.8741 -3.43869 0.316214 0.315911,-13.7707 -3.74404 0.222942 0.403392,-13.8168   -3.671 0.235787 0.379569,-0.412955   6.75567  -25.4344   20.1507
0,-13.8636 -3.42816 0.316214 0.315911,-13.8845 -3.05963 0.365969 0.447419,-13.8592  -3.2591 0.346968 0.437578,-0.0319254   -4.93163    9.72564    38.5131
0, -13.853 -3.41763 0.316214 0.315911,-13.9219 -3.41815 0.263792 0.279665,-13.8973  -3.3605  0.27592 0.302688,0.319332 -1.67166 -12.7428 -4.18578
0,-13.8425  -3.4071 0.316214 0.315911,-13.9073 -3.75104 0.256851  0.43647,-13.9009  -3.6173 0.259631 0.416913, 0.42189   6.1695 -17.8939  31.9716
0, -13.832 -3.39657 0.316214 0.315911,-13.8257 -3.19259 0.286374 0.309162,-13.8478 -3.32968 0.282479 0.324923,0.114818 -1.96937 -10.6686  2.85271
0,-13.8214 -3.38604 0.316214 0.315911,-13.7226 -3.45946 0.286021 0.260493,-13.7612 -3.41268 0.285515  0.26988,-0.435733    0.7868  -9.70832   -14.571
0,-13.8109 -3.37551 0.316214 0.315911,-13.5824 -3.55564 0.207519 0.293087,-13.6389 -3.50496 0.218915 0.289686,-1.24508  3.83489 -30.7701 -8.30136
0,-13.8003 -3.36498 0.316214 0.315911, -13.616 -3.54274 0.278525 0.495651,-13.6211 -3.52663 0.269829 0.465597, -1.2986  4.80383 -14.6689  47.3823
0,-13.7898 -3.35445 0.316214 0.315911,-13.9831 -3.76522 0.297621 0.349842,-13.8594 -3.68068  0.29353 0.366706,0.504888  9.72542 -7.17364  16.0789
0,-13.7793 -3.34392 0.316214 0.315911,-13.7013   -3.286 0.275884 0.398727,-13.7507 -3.41343 0.278473 0.394092,-0.20694  2.07885 -11.9355  24.7479
0,-13.7687 -3.33339 0.316214 0.315911, -13.702 -3.38531 0.283543 0.314751,-13.7152 -3.39042 0.282807 0.326328,-0.388986   1.71103  -10.5648   3.29747
0,-13.7582 -3.32286 0.316214 0.315911,-13.9677  -3.5666 0.352884 0.329118,-13.8803 -3.50425 0.342634 0.328693,0.88743 5.45881   8.355  4.0461
0,-13.7476 -3.31233 0.316214 0.315911,-13.5151 -3.37262 0.333143 0.364161, -13.633 -3.41279 0.334562 0.358998,-0.833675   3.03309   5.80234   13.6391
0,-13.7371  -3.3018 0.316214 0.315911,-13.5783 -3.46926 0.156228 0.422608,-13.5931 -3.44636 0.182251  0.41332,-1.04851  4.37828 -42.3646  30.8345
0,-13.7266 -3.29127 0.316214 0.315911,-13.9327 -3.47402 0.276707 0.418239,-13.8173  -3.4602 0.262893 0.417517,0.661299  5.13273 -16.8625   32.163
0, -13.716 -3.28074 0.316214 0.315911,-13.9811 -3.31122 0.246845  0.33274,-13.9236 -3.35636  0.24917 0.345122, 1.51359  2.30506 -21.2022   9.2465
0,-13.7055 -3.27021 0.316214 0.315911,-13.8283 -3.30248 0.254434 0.227207,-13.8573 -3.31677 0.253675 0.244415, 1.10787  1.42399 -19.7777 -22.6317
0,-13.6949 -3.25968 0.316214 0.315911,-13.4874 -3.30688 0.361121 0.370022,-13.6077 -3.30728  0.34548 0.351696,-0.636802   1.46042   9.25492   11.3277
0,-13.6844 -3.24915 0.316214 0.315911, -13.478 -2.94645 0.452972 0.352292,-13.5172 -3.06281 0.437301 0.352239, -1.2215 -5.73478  38.2925  11.4996
0,-13.6739 -3.23862 0.316214 0.315911,-13.7295 -3.02074 0.327438 0.358975, -13.654 -3.03084 0.343445 0.357996,-0.14488 -6.41552  8.61149  13.3217
0,-13.6633 -3.22808 0.316214 0.315911,-13.3918 -3.44447 0.279168 0.361032,-13.4755 -3.30261  0.28857 0.360547,-1.37445   2.3088 -8.74215  14.1294
0,-13.6528 -3.21755 0.316214 0.315911, -13.825  -3.0512 0.290068 0.383868,-13.7053 -3.13096 0.289814 0.380489,0.384794 -2.69129 -8.34878  20.4419
0,-13.6422 -3.20702 0.316214 0.315911,-13.2923 -3.21222 0.434513 0.442932,-13.4265 -3.18082 0.413441 0.433812,  -1.5813 -0.817152   30.7469    37.321
0,-13.6317 -3.19649 0.316214 0.315911, -13.632  -3.2381 0.326624 0.253409, -13.559 -3.21445  0.33927 0.279722,-0.533166  0.561696   7.29099  -11.4554
